draw,capability,pct_nodes_changed,mean_abs_score_delta,max_weight
2,nutrition,1.0236724248240563,0.0020473448496481127,0.5724271029876334
3,nutrition,0.7677543186180422,0.0015355086372360847,0.5590683695386219
4,nutrition,0.19193857965451055,0.000383877159309021,0.5115732507769901
5,nutrition,0.0,0.0,0.5023399123192358
6,nutrition,0.12795905310300704,0.00025591810620601403,0.5034702001457269
7,nutrition,0.9596928982725527,0.0019193857965451055,0.5871128255541503
8,nutrition,2.36724248240563,0.00473448496481126,0.6393467613133403
9,nutrition,1.4075495841330774,0.002815099168266155,0.5887206012219074
10,nutrition,0.9596928982725527,0.0019193857965451055,0.563302908486326
11,nutrition,1.0876519513755598,0.0021753039027511195,0.5765323878338353
12,nutrition,0.3198976327575176,0.0006397952655150351,0.5291184230715116
13,nutrition,1.3435700575815739,0.0026871401151631474,0.6417173407220855
14,nutrition,1.2795905310300704,0.0025591810620601407,0.6299479265300677
15,nutrition,0.0,0.0,0.5103647232623778
16,nutrition,1.3435700575815739,0.0026871401151631474,0.6408869230791743
17,nutrition,0.3198976327575176,0.0006397952655150352,0.5326084377615868
18,nutrition,0.9596928982725527,0.0019193857965451055,0.5948675866986839
19,nutrition,0.0,0.0,0.5084945109641739
20,nutrition,0.19193857965451055,0.000383877159309021,0.5196231021311377
21,nutrition,0.8957133717210494,0.0017914267434420985,0.5664407998989203
22,nutrition,0.12795905310300704,0.0002559181062060141,0.5225116776837023
23,nutrition,1.599488163787588,0.003198976327575176,0.6085193753273053
24,nutrition,1.983365323096609,0.003966730646193219,0.6202963169681281
25,nutrition,0.6397952655150352,0.0012795905310300703,0.5607516287288268
26,nutrition,0.0,0.0,0.5000857285625518
27,nutrition,0.12795905310300704,0.00025591810620601403,0.5033634911697876
28,nutrition,1.0876519513755598,0.0021753039027511195,0.5765664520149998
29,nutrition,1.0876519513755598,0.0021753039027511195,0.6062651721397129
30,nutrition,1.0876519513755598,0.0021753039027511195,0.574948952099956
31,nutrition,0.5758157389635317,0.0011516314779270631,0.5520658682067837
32,nutrition,0.0,0.0,0.508652950747204
33,nutrition,0.06397952655150352,0.00012795905310300702,0.5192057421868927
34,nutrition,0.3198976327575176,0.0006397952655150351,0.5255058198792368
35,nutrition,0.2559181062060141,0.0005118362124120281,0.5235034074987005
36,nutrition,0.8957133717210494,0.0017914267434420985,0.5698752119100196
37,nutrition,0.7677543186180422,0.0015355086372360847,0.5587232885728246
38,nutrition,1.1516314779270633,0.0023032629558541267,0.618113341366803
39,nutrition,1.3435700575815739,0.0026871401151631474,0.6511887588372877
40,nutrition,0.9596928982725527,0.0019193857965451055,0.570316142336715
41,nutrition,0.12795905310300704,0.0002559181062060141,0.5232011779959836
42,nutrition,0.5758157389635317,0.0011516314779270631,0.5527354348254674
43,nutrition,0.19193857965451055,0.000383877159309021,0.5129333218503
44,nutrition,0.0,0.0,0.5089708582313719
45,nutrition,0.5118362124120281,0.0010236724248240564,0.5422770274951138
46,nutrition,0.3198976327575176,0.0006397952655150352,0.5331424175934215
47,nutrition,0.5118362124120281,0.0010236724248240564,0.5397462984853838
48,nutrition,0.5758157389635317,0.0011516314779270631,0.5526988812032555
49,nutrition,0.0,0.0,0.5011891507859472
50,nutrition,0.8957133717210494,0.0017914267434420985,0.5690297161949126
51,nutrition,1.599488163787588,0.003198976327575176,0.7233253876171362
52,nutrition,0.6397952655150352,0.0012795905310300703,0.546832966663096
53,nutrition,0.6397952655150352,0.0012795905310300703,0.5496143699162452
54,nutrition,0.3198976327575176,0.0006397952655150352,0.5335218738805316
55,nutrition,0.8317338451695457,0.0016634676903390915,0.5648998126945457
56,nutrition,35.50863723608445,0.07114523352527191,0.7152298442296761
57,nutrition,1.7914267434420987,0.003582853486884197,0.6174687995318657
58,nutrition,1.2156110044785668,0.002431222008957134,0.5840508532299589
59,nutrition,0.19193857965451055,0.000383877159309021,0.5107461265460774
60,nutrition,0.06397952655150352,0.00012795905310300702,0.5217739425227504
61,nutrition,1.6634676903390915,0.0033269353806781826,0.6101663628693108
62,nutrition,0.06397952655150352,0.00012795905310300702,0.5190332305465017
63,nutrition,0.9596928982725527,0.0019193857965451055,0.5911280951519684
64,nutrition,0.8957133717210494,0.0017914267434420985,0.5734157883497104
65,nutrition,0.6397952655150352,0.0012795905310300703,0.5505750054840962
66,nutrition,0.12795905310300704,0.00025591810620601403,0.5084198862714815
67,nutrition,0.19193857965451055,0.000383877159309021,0.5103596074997314
68,nutrition,0.0,0.0,0.5060339244109388
69,nutrition,1.3435700575815739,0.0026871401151631474,0.6498821631503519
70,nutrition,0.0,0.0,0.5102571989718688
71,nutrition,0.4478566858605247,0.0008957133717210493,0.5372998937617917
72,nutrition,1.3435700575815739,0.0026871401151631474,0.6597886982462544
73,nutrition,0.5758157389635317,0.0011516314779270631,0.556630927896493
74,nutrition,0.8957133717210494,0.0017914267434420985,0.5658415509800838
75,nutrition,0.06397952655150352,0.00012795905310300702,0.5169275109366038
76,nutrition,0.3198976327575176,0.0006397952655150351,0.5268168020450562
77,nutrition,0.9596928982725527,0.0019193857965451055,0.5890364460799339
78,nutrition,1.4075495841330774,0.0028150991682661546,0.6945245831872868
79,nutrition,0.5758157389635317,0.0011516314779270631,0.5448723241447871
80,nutrition,0.9596928982725527,0.0019193857965451055,0.5948361358084744
81,nutrition,0.0,0.0,0.5116948299742093
82,nutrition,0.2559181062060141,0.0005118362124120283,0.5323331405797728
83,nutrition,0.0,0.0,0.5026703875538667
