node_id,road,house_number,neighborhood,suburb
11941854641,Via Dante Alighieri,81,,San Benedetto
11941854647,Via Dante Alighieri,85a,,San Benedetto
11941854648,Via Tiziano,2,,San Benedetto
11941854649,Via Dante Alighieri,122,,San Benedetto
11941854650,Via Dante Alighieri,85b,,San Benedetto
11941854656,Via Dante Alighieri,85b,,San Benedetto
11941909370,Via Dante Alighieri,152,,San Benedetto
11941909371,Via Dante Alighieri,154,,Sant'Alenixedda
11941909372,Via Dante Alighieri,93a,,San Benedetto
11941909373,Via Dante Alighieri,95,,Sant'Alenixedda
11941909375,Via Francesco Cocco Ortu,2,,San Benedetto
11941909380,Via Dante Alighieri,93a,,San Benedetto
11941909383,Via Ettore Pais,2,,Sant'Alenixedda
11941909384,Via Torquato Tasso,1,,Sant'Alenixedda
11941909386,Via Ettore Pais,2,,Sant'Alenixedda
11941909388,Via Dante Alighieri,113,,Sant'Alenixedda
11941909389,Via Torquato Tasso,1,,Sant'Alenixedda
11941918553,Via Achille Grandi,7,,Fonsarda
11941918556,Via Gaetano Salvemini,2,,Fonsarda
11955634820,Via Federico Fellini,,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11955634822,Via delle Felci,,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11955634823,Via Federico Fellini,,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11955634824,Via delle Felci,,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11955634826,Via Federico Fellini,,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11955634827,Via Federico Fellini,,Is Campus,Municipalidadi de Pirri/Municipalit? di Pirri
11955680689,Asse Mediano di Scorrimento,,,Is Mirrionis
11955680703,Via Giuseppe Peretti,5,,San Michele
11955680704,Via Giuseppe Peretti,,,San Michele
11955680706,Via Giuseppe Peretti,5,,San Michele
11955680709,Via Giuseppe Peretti,1,,San Michele
11955680710,Via Giuseppe Peretti,,,San Michele
11955680711,Via Giuseppe Peretti,,,San Michele
11955680712,Via Giuseppe Peretti,1,,San Michele
11955680714,Via Giuseppe Peretti,,,San Michele
11955680736,Piazzale Alessandro Ricchi,2a,,
11955680739,Piazzale Alessandro Ricchi,2,,San Michele
11955680740,Piazzale Alessandro Ricchi,2,,San Michele
11955680741,Piazzale Alessandro Ricchi,2,,San Michele
11955680742,Piazzale Alessandro Ricchi,2,,San Michele
11955680744,Piazzale Alessandro Ricchi,2,,San Michele
11955680745,Piazzale Alessandro Ricchi,2,,San Michele
11955680749,Via Edward Jenner,,,San Michele
11955680750,Piazzale Alessandro Ricchi,2,,San Michele
11955680751,Piazzale Alessandro Ricchi,,,San Michele
11955680752,Piazzale Alessandro Ricchi,,,San Michele
11955680754,Via Edward Jenner,,,San Michele
11955680755,Piazzale Alessandro Ricchi,,,San Michele
11955680756,Piazzale Alessandro Ricchi,,,San Michele
11955680758,Piazzale Alessandro Ricchi,2,,San Michele
11955680759,Piazzale Alessandro Ricchi,2,,San Michele
11955680760,Piazzale Alessandro Ricchi,2,,San Michele
11955680761,Piazzale Alessandro Ricchi,2,,San Michele
11955680764,Piazzale Alessandro Ricchi,,,San Michele
11955680765,Piazzale Alessandro Ricchi,2,,San Michele
11955680767,Asse Mediano di Scorrimento,,,San Michele
11955680768,Via Edward Jenner,21,,San Michele
11955687173,Via Edward Jenner,,,San Michele
11999101899,Via del Timo,,,
12009238276,Via Piero della Francesca,,,Mulinu Becciu
12009238277,Via Piero della Francesca,,,Mulinu Becciu
12009238278,,,,Mulinu Becciu
12009238285,,,,Mulinu Becciu
12009238307,Via Piero della Francesca,,,
12009238308,Via Giuseppe Setzu,2,,Mulinu Becciu
12027917962,Via Premuda,15,,San Michele
12027917965,Via Premuda,46,,San Michele
12027917968,Via Premuda,46,,San Michele
12029777312,Via Bainsizza,39,,Tuvixeddu-Tuvumannu
12044060296,Via Logudoro,43,,Bonaria
12061039416,Strada Statale 195 Sulcitana,,,Sant'Avendrace-Santa Gilla
12077416329,Via Alberto Riva Villasanta,234,,Fonsarda
12077416330,Via Alberto Riva Villasanta,234,,Fonsarda
12077416331,Via Alberto Riva Villasanta,234,,Fonsarda
12077416341,Asse Mediano di Scorrimento,,,Fonsarda
12079937644,Viale Francesco Ciusa,56,,Fonsarda
12079937647,Via Edina Altara,,,Fonsarda
12080789214,Viale Armando Diaz,69,,Bonaria
12080789215,Viale Armando Diaz,26,,Bonaria
1212993863,Via Oslo,,,Genneruxi
12135935006,Via Efisio Cao di San Marco,2,,Sant'Alenixedda
12135935009,Piazza Papa Giovanni Ventitreesimo,16,,Fonsarda
12135935010,Piazza Papa Giovanni Ventitreesimo,17,,Fonsarda
12135935013,Via Medaglie d'Oro,2,,Fonsarda
12135935014,Via Medaglie d'Oro,1,,Fonsarda
12135935937,Viale Enrico Endrich,,,Biddanoa/Villanova
12135935940,Viale Enrico Endrich,,,Biddanoa/Villanova
12140293154,,,,Sant'Avendrace-Santa Gilla
12146326622,Viale Trieste,,,Sant'Avendrace-Santa Gilla
12146492126,Via San Paolo,,,Sant'Avendrace-Santa Gilla
12147623879,Via San Paolo,17,,Sant'Avendrace-Santa Gilla
12147623880,Via San Paolo,80,,Sant'Avendrace-Santa Gilla
12147623881,Via San Paolo,11,,Sant'Avendrace-Santa Gilla
12147623883,Viale La Plaia,,,Stampaxi/Stampace
12147623889,Via Roma,,,Stampaxi/Stampace
