from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time_min,wait_time_min,impedance_min,is_missing
39.263128,9.084632,39.234231,9.03924,https://www.google.com/maps/dir/?api=1&origin=39.263128%2C9.084632&destination=39.234231%2C9.03924&travelmode=transit&departure_time=1760529600,,,,1
39.222418,9.076471,39.211706,9.125146,https://www.google.com/maps/dir/?api=1&origin=39.222418%2C9.076471&destination=39.211706%2C9.125146&travelmode=transit&departure_time=1760529600,,,,1
39.215431,9.158532,39.220851,9.112514,https://www.google.com/maps/dir/?api=1&origin=39.215431%2C9.158532&destination=39.220851%2C9.112514&travelmode=transit&departure_time=1760529600,,,,1
39.222043,9.039598,39.209797,9.169374,https://www.google.com/maps/dir/?api=1&origin=39.222043%2C9.039598&destination=39.209797%2C9.169374&travelmode=transit&departure_time=1760529600,,,,1
39.213398,9.144783,39.201251,9.12881,https://www.google.com/maps/dir/?api=1&origin=39.213398%2C9.144783&destination=39.201251%2C9.12881&travelmode=transit&departure_time=1760529600,,,,1
39.211927,9.12555,39.176086,9.027983,https://www.google.com/maps/dir/?api=1&origin=39.211927%2C9.12555&destination=39.176086%2C9.027983&travelmode=transit&departure_time=1760529600,,,,1
39.252736,9.098406,39.209904,9.055845,https://www.google.com/maps/dir/?api=1&origin=39.252736%2C9.098406&destination=39.209904%2C9.055845&travelmode=transit&departure_time=1760529600,,,,1
39.231016,9.077457,39.216789,9.116314,https://www.google.com/maps/dir/?api=1&origin=39.231016%2C9.077457&destination=39.216789%2C9.116314&travelmode=transit&departure_time=1760529600,,,,1
39.227248,9.068014,39.235505,9.102524,https://www.google.com/maps/dir/?api=1&origin=39.227248%2C9.068014&destination=39.235505%2C9.102524&travelmode=transit&departure_time=1760529600,,,,1
39.16835,9.030508,39.204413,9.125417,https://www.google.com/maps/dir/?api=1&origin=39.16835%2C9.030508&destination=39.204413%2C9.125417&travelmode=transit&departure_time=1760529600,,,,1
39.177645,9.04259,39.226221,9.135447,https://www.google.com/maps/dir/?api=1&origin=39.177645%2C9.04259&destination=39.226221%2C9.135447&travelmode=transit&departure_time=1760529600,,,,1
39.181897,9.160091,39.24465,9.111727,https://www.google.com/maps/dir/?api=1&origin=39.181897%2C9.160091&destination=39.24465%2C9.111727&travelmode=transit&departure_time=1760529600,,,,1
39.166011,9.031724,39.232182,9.11184,https://www.google.com/maps/dir/?api=1&origin=39.166011%2C9.031724&destination=39.232182%2C9.11184&travelmode=transit&departure_time=1760529600,,,,1
39.188645,9.166708,39.248341,9.110456,https://www.google.com/maps/dir/?api=1&origin=39.188645%2C9.166708&destination=39.248341%2C9.110456&travelmode=transit&departure_time=1760529600,,,,1
39.224603,9.075402,39.234825,9.109688,https://www.google.com/maps/dir/?api=1&origin=39.224603%2C9.075402&destination=39.234825%2C9.109688&travelmode=transit&departure_time=1760529600,,,,1
39.223933,9.070536,39.199887,9.160241,https://www.google.com/maps/dir/?api=1&origin=39.223933%2C9.070536&destination=39.199887%2C9.160241&travelmode=transit&departure_time=1760529600,,,,1
39.2239,9.078313,39.20927,9.167831,https://www.google.com/maps/dir/?api=1&origin=39.2239%2C9.078313&destination=39.20927%2C9.167831&travelmode=transit&departure_time=1760529600,,,,1
39.219373,9.053312,39.237074,9.126022,https://www.google.com/maps/dir/?api=1&origin=39.219373%2C9.053312&destination=39.237074%2C9.126022&travelmode=transit&departure_time=1760529600,,,,1
39.247409,9.132594,39.187884,9.165654,https://www.google.com/maps/dir/?api=1&origin=39.247409%2C9.132594&destination=39.187884%2C9.165654&travelmode=transit&departure_time=1760529600,,,,1
39.229858,9.121602,39.183843,9.161033,https://www.google.com/maps/dir/?api=1&origin=39.229858%2C9.121602&destination=39.183843%2C9.161033&travelmode=transit&departure_time=1760529600,,,,1
39.165316,9.03124,39.235878,9.118979,https://www.google.com/maps/dir/?api=1&origin=39.165316%2C9.03124&destination=39.235878%2C9.118979&travelmode=transit&departure_time=1760529600,,,,1
39.167601,9.031248,39.229714,9.122747,https://www.google.com/maps/dir/?api=1&origin=39.167601%2C9.031248&destination=39.229714%2C9.122747&travelmode=transit&departure_time=1760529600,,,,1
39.222322,9.041945,39.237972,9.116081,https://www.google.com/maps/dir/?api=1&origin=39.222322%2C9.041945&destination=39.237972%2C9.116081&travelmode=transit&departure_time=1760529600,,,,1
39.237998,9.136267,39.229609,9.072175,https://www.google.com/maps/dir/?api=1&origin=39.237998%2C9.136267&destination=39.229609%2C9.072175&travelmode=transit&departure_time=1760529600,,,,1
39.218848,9.113804,39.183439,9.159729,https://www.google.com/maps/dir/?api=1&origin=39.218848%2C9.113804&destination=39.183439%2C9.159729&travelmode=transit&departure_time=1760529600,,,,1
39.200781,9.142095,39.169396,9.032392,https://www.google.com/maps/dir/?api=1&origin=39.200781%2C9.142095&destination=39.169396%2C9.032392&travelmode=transit&departure_time=1760529600,,,,1
39.168075,9.033418,39.22538,9.101822,https://www.google.com/maps/dir/?api=1&origin=39.168075%2C9.033418&destination=39.22538%2C9.101822&travelmode=transit&departure_time=1760529600,,,,1
39.192625,9.064985,39.234456,9.109242,https://www.google.com/maps/dir/?api=1&origin=39.192625%2C9.064985&destination=39.234456%2C9.109242&travelmode=transit&departure_time=1760529600,,,,1
39.218617,9.055746,39.225212,9.11907,https://www.google.com/maps/dir/?api=1&origin=39.218617%2C9.055746&destination=39.225212%2C9.11907&travelmode=transit&departure_time=1760529600,,,,1
39.220625,9.049681,39.211467,9.099231,https://www.google.com/maps/dir/?api=1&origin=39.220625%2C9.049681&destination=39.211467%2C9.099231&travelmode=transit&departure_time=1760529600,,,,1
39.188685,9.162546,39.212233,9.114103,https://www.google.com/maps/dir/?api=1&origin=39.188685%2C9.162546&destination=39.212233%2C9.114103&travelmode=transit&departure_time=1760529600,,,,1
39.211608,9.045938,39.244562,9.153151,https://www.google.com/maps/dir/?api=1&origin=39.211608%2C9.045938&destination=39.244562%2C9.153151&travelmode=transit&departure_time=1760529600,,,,1
39.224073,9.070364,39.214034,9.114257,https://www.google.com/maps/dir/?api=1&origin=39.224073%2C9.070364&destination=39.214034%2C9.114257&travelmode=transit&departure_time=1760529600,,,,1
39.223602,9.069903,39.228124,9.118987,https://www.google.com/maps/dir/?api=1&origin=39.223602%2C9.069903&destination=39.228124%2C9.118987&travelmode=transit&departure_time=1760529600,,,,1
39.216206,9.056475,39.206641,9.151798,https://www.google.com/maps/dir/?api=1&origin=39.216206%2C9.056475&destination=39.206641%2C9.151798&travelmode=transit&departure_time=1760529600,,,,1
39.223972,9.103724,39.226601,9.061749,https://www.google.com/maps/dir/?api=1&origin=39.223972%2C9.103724&destination=39.226601%2C9.061749&travelmode=transit&departure_time=1760529600,,,,1
39.217476,9.126726,39.229609,9.072175,https://www.google.com/maps/dir/?api=1&origin=39.217476%2C9.126726&destination=39.229609%2C9.072175&travelmode=transit&departure_time=1760529600,,,,1
39.204717,9.093743,39.168405,9.033025,https://www.google.com/maps/dir/?api=1&origin=39.204717%2C9.093743&destination=39.168405%2C9.033025&travelmode=transit&departure_time=1760529600,,,,1
39.231016,9.077457,39.204628,9.145799,https://www.google.com/maps/dir/?api=1&origin=39.231016%2C9.077457&destination=39.204628%2C9.145799&travelmode=transit&departure_time=1760529600,,,,1
39.226542,9.068955,39.21339,9.113077,https://www.google.com/maps/dir/?api=1&origin=39.226542%2C9.068955&destination=39.21339%2C9.113077&travelmode=transit&departure_time=1760529600,,,,1
