id,lon,lat
d210,9.1529059,39.1996096
d211,9.1478323,39.1996846
d212,9.152277,39.1997713
d213,9.1534253,39.1998393
d214,9.1463386,39.1998477
d215,9.1602953,39.1998651
d216,9.1602405,39.1998869
d217,9.1499438,39.1999312
d218,9.1602754,39.1999516
d219,9.1520685,39.1999838
d220,9.160195,39.1999872
d221,9.151567,39.1999947
d222,9.1603203,39.2000052
d223,9.1499262,39.2000143
d224,9.1602234,39.2000285
d225,9.1603636,39.2000647
d226,9.1600435,39.2000727
d227,9.1501074,39.2001392
d228,9.1473153,39.2001449
d229,9.1523515,39.2001587
d230,9.1490624,39.2001651
d231,9.1597632,39.2001909
d232,9.1499373,39.2002486
d233,9.1516432,39.2002698
d234,9.0714783,39.2003691
d235,9.1491551,39.2003966
d236,9.149016,39.2004083
d237,9.1591876,39.2004235
d238,9.1503317,39.2004252
d239,9.1485532,39.2004406
d240,9.1499938,39.2005046
d241,9.1509612,39.2005363
d242,9.1502013,39.2005533
d243,9.1492796,39.2006161
d244,9.0710146,39.2006285
d245,9.1516358,39.200657
d246,9.1489912,39.2006683
d247,9.1487783,39.200671
d248,9.148723,39.2007154
d249,9.1517466,39.2007355
d250,9.1312014,39.2007482
d251,9.1608698,39.2007594
d252,9.1504579,39.2007621
d253,9.1515124,39.2007637
d254,9.1516959,39.2007835
d255,9.1515634,39.2007968
d256,9.1309654,39.2008009
d257,9.1517286,39.2008064
d258,9.160928,39.200832
d259,9.148791,39.2008327
d260,9.1288548,39.2008915
d261,9.1464789,39.2009012
d262,9.1501787,39.200907
d263,9.1609848,39.2009142
d264,9.1495194,39.2009324
d265,9.1494705,39.2009596
d266,9.1428381,39.2009698
d267,9.1610231,39.2009706
d268,9.1300025,39.2009746
d269,9.1362107,39.2009947
d270,9.1507168,39.2010149
d271,9.1482806,39.2010425
d272,9.1481422,39.2011332
d273,9.1361861,39.2011583
d274,9.1501467,39.2011754
d275,9.1282437,39.2012026
d276,9.1419332,39.2012054
d277,9.1429741,39.2012208
d278,9.138183,39.201229
d279,9.1288097,39.2012515
d280,9.1291624,39.2012819
d281,9.1382247,39.2012946
d282,9.137765,39.2013119
d283,9.1400467,39.2013122
d284,9.1498795,39.2013205
d285,9.1297973,39.2013324
d286,9.151051,39.2013408
d287,9.1380735,39.2013587
d288,9.1497904,39.2013689
d289,9.1306614,39.2013991
d290,9.140524,39.2014062
d291,9.1606397,39.2014101
d292,9.1411326,39.2014162
d293,9.13117,39.2014373
d294,9.1504864,39.2014634
d295,9.1595644,39.2014839
