node_id,lat,lon,capability_restorativeness,service_sport_and_movement,service_scenic_views,service_quietness,service_cultural_activities,service_nature_contact
304576503,39.2455831,9.1044916,0.9977728088518829,0.997304746608154,0.9977728088518829,0.9832348955390885,0.8271960422033072,0.9977728088518829
304576506,39.2451088,9.104609,0.9977789016427142,0.9977789016427142,0.9977327035211196,0.9844751977428561,0.8283763670068968,0.9977327035211196
304576509,39.244132,9.1048668,0.998416081129325,0.998416081129325,0.997950150777543,0.9876562115701294,0.8303829418082169,0.997950150777543
304576511,39.2420316,9.105836,0.9993118808721134,0.9993118808721134,0.9969886455981215,0.9928888784570776,0.8343231084063415,0.9969886455981215
304576513,39.2413479,9.1063632,0.9993407060814432,0.9993407060814432,0.9967161117429995,0.994237025602333,0.8350147242918824,0.9967161117429995
304576514,39.2377727,9.1033262,0.9996763090950079,0.9996763090950079,0.9954180230841911,0.9967186842846489,0.8350317366063713,0.9954180230841911
304576523,39.2399151,9.1052104,0.999620948718113,0.999620948718113,0.9951821730721713,0.9946620054069687,0.8325771245296496,0.9951821730721713
304576526,39.2405836,9.1071727,0.9991659275075216,0.9991659275075216,0.9967067543033361,0.9954249348749917,0.8360431707375452,0.9967067543033361
304576528,39.2412101,9.1050827,0.9994302923904365,0.9994302923904365,0.9959961186784833,0.9922381143177201,0.8314069605823031,0.9959961186784833
304576531,39.2418929,9.1037216,0.9994191366950674,0.9994191366950674,0.9955773172065772,0.9909636287635484,0.8297928358846975,0.9955773172065772
304576535,39.2410322,9.103108,0.9995020365506215,0.9995020365506215,0.9948365287678077,0.9920770816162626,0.8294465407619883,0.9948365287678077
304576537,39.240625,9.1027737,0.9995766899777743,0.9995766899777743,0.9947073525735998,0.9929922683959836,0.8306953875737444,0.9947073525735998
304576538,39.2401178,9.1023574,0.9996252395189867,0.9996252395189867,0.9947249593205502,0.9940222345034784,0.8321219316069581,0.9947249593205502
304576540,39.2395574,9.1018974,0.9995349451376322,0.9995349451376322,0.9941105214979856,0.9937323514387296,0.8317720365936331,0.9941105214979856
304576541,39.2386649,9.1010904,0.9993903740581458,0.9993903740581458,0.9938928995109176,0.9940412096212412,0.8323019601024162,0.9938928995109176
304576545,39.2406981,9.1037227,0.9994318571683377,0.9994318571683377,0.9935375189663899,0.991188564435031,0.8281775220015982,0.9935375189663899
304576546,39.2414788,9.1018241,0.9991892368173738,0.9991892368173738,0.9933621217597783,0.9896472986118376,0.826047095702207,0.9933621217597783
304576549,39.2392669,9.1001781,0.9988334454765969,0.9988334454765969,0.9941364000039119,0.992658859973337,0.8309527566142013,0.9941364000039119
304576551,39.2390125,9.1004839,0.9989048598749136,0.9989048598749136,0.9939110817314887,0.9928672680128989,0.831064488412276,0.9939110817314887
304576553,39.2382163,9.1018908,0.9993255807179149,0.9993255807179149,0.9929438232698475,0.9937942789905548,0.8320645591709919,0.9929438232698475
304587648,39.2422441,9.1178124,0.9690119597868574,0.9647916012124061,0.9690119597868574,0.9686281985657429,0.8030218832899098,0.9690119597868574
304587650,39.2413394,9.1175857,0.9993647713673419,0.9993647713673419,0.9991187245860029,0.9980495125859185,0.835385764396094,0.9991187245860029
304587653,39.2407711,9.1179828,0.9995417635227467,0.9995417635227467,0.9992205480320071,0.9984631471925067,0.8365299565795616,0.9992205480320071
304587657,39.2383313,9.116805,0.9998373482869409,0.9998373482869409,0.9992632114867073,0.9994218749109836,0.8388569031333541,0.9992632114867073
304587659,39.2398945,9.1173821,0.9996935702011003,0.9996935702011003,0.9991608975014171,0.9986739138222606,0.8372530993182552,0.9991608975014171
304587661,39.2391215,9.1180501,0.9998412516379588,0.9998412516379588,0.9993218631497152,0.9990355502267633,0.8380296760442925,0.9993218631497152
304587663,39.2395767,9.1169957,0.9997469037516541,0.9997469037516541,0.9988978935253525,0.9988823177988023,0.8378482142420393,0.9988978935253525
304587668,39.2390979,9.116124,0.9997290771561426,0.9997290771561426,0.9989947926061102,0.9988286404226242,0.8375718807490677,0.9989947926061102
304587676,39.2425161,9.1156457,0.9988627192738165,0.9980474025897957,0.9988627192738165,0.9966152172451825,0.8324318951588459,0.9988627192738165
304587680,39.242498,9.1154371,0.9987270740519955,0.997847641097612,0.9987270740519955,0.9963428859951784,0.8318069461363055,0.9987270740519955
304587682,39.2473816,9.1146319,0.9968850409272496,0.9859546270655698,0.9968850409272496,0.985576203830605,0.819086169393011,0.9968850409272496
304587684,39.2418604,9.1094378,0.9975049864258062,0.9975049864258062,0.9969738380164531,0.99488237373992,0.8356990153506445,0.9969738380164531
304587744,39.2446496,9.111727,0.9895341906134164,0.9808157396748148,0.9895341906134164,0.9842960321630733,0.8269002712148847,0.9895341906134164
304587748,39.2447726,9.1140835,0.995711286550234,0.9909886103152485,0.995711286550234,0.9900893805165424,0.8181306533219963,0.995711286550234
304588010,39.2517908,9.1120899,0.9936284891248954,0.9866043414921835,0.9936284891248954,0.9677799028079537,0.7844833547522257,0.9936284891248954
304590273,39.2581311,9.0908863,0.9915572065315861,0.9821908801675929,0.9915572065315861,0.9000618420794988,0.7363841811014304,0.9915572065315861
304590285,39.2581196,9.088527,0.9913373662178602,0.9744600349273976,0.9913373662178602,0.8970004221315449,0.7278235913900072,0.9913373662178602
304591533,39.2611799,9.0901696,0.9832022041668091,0.9709542580312748,0.9832022041668091,0.8516190153983456,0.6750522692308402,0.9832022041668091
304591541,39.2613756,9.0886855,0.974956111975394,0.9334568289259005,0.974956111975394,0.7923955002462434,0.6150005319421927,0.974956111975394
304591546,39.2624751,9.0874431,0.845972925478328,0.8142913951522761,0.845972925478328,0.0,0.0,0.845972925478328
304596739,39.2537337,9.1262955,0.9975391584499723,0.9975391584499723,0.9830254814236274,0.9614996548091996,0.8133031623980981,0.9830254814236274
304596740,39.2519834,9.1256059,0.9982457442593796,0.9982457442593796,0.9860897482758129,0.9674400961484834,0.8167319683363046,0.9860897482758129
304617226,39.2442652,9.1537951,0.9991045444661405,0.9947859654183104,0.9991045444661405,0.89368587180842,0.687207289445568,0.9991045444661405
304617227,39.2441138,9.1534414,0.9989524699541694,0.9952876185539512,0.9989524699541694,0.8963938900800472,0.6905283466165218,0.9989524699541694
304617229,39.2438794,9.1531295,0.9990900180427765,0.9696341067810075,0.9990900180427765,0.8992239799633464,0.693794384457043,0.9990900180427765
304617231,39.2435331,9.1529996,0.999226206065306,0.9714868110684733,0.999226206065306,0.9030417410717073,0.697753210349604,0.999226206065306
304617236,39.2433715,9.1540766,0.9682543636219321,0.0,0.9682543636219321,0.0,0.0,0.9682543636219321
304618135,39.2413685,9.1500531,0.9992027484972018,0.9800091901577892,0.9992027484972018,0.9309819333248819,0.729208553520476,0.9992027484972018
304618139,39.2419398,9.1509856,0.9987053178987957,0.9812242812540585,0.9987053178987957,0.9239743072039169,0.7201525110808314,0.9987053178987957
304618717,39.243543,9.1547393,0.9682543636219321,0.0,0.9682543636219321,0.0,0.0,0.9682543636219321
304618740,39.2441604,9.1529443,0.9992188048272007,0.9956180155286517,0.9992188048272007,0.8955651121037042,0.6910051890590905,0.9992188048272007
304620860,39.2515672,9.1376795,0.9972605463685547,0.9972605463685547,0.9953634678335032,0.9790728386434966,0.8258264921969474,0.9953634678335032
304620862,39.2501101,9.1363322,0.9982202305965497,0.9982202305965497,0.9971383281444897,0.9854386101173743,0.8304262820111213,0.9971383281444897
304620873,39.2497677,9.1357697,0.9978900233922542,0.9978900233922542,0.9972816295471908,0.9862669810995908,0.8308679788310407,0.9972816295471908
304620884,39.2496227,9.1361798,0.9979957183008928,0.9979957183008928,0.9972335834668239,0.985583995695961,0.8304680610610771,0.9972335834668239
304620897,39.2500869,9.1354872,0.9978023594710164,0.9978023594710164,0.9973214091324465,0.9865606184732623,0.8314414967354871,0.9973214091324465
304620899,39.2514406,9.1343778,0.9968374808514049,0.9961758136291402,0.9968374808514049,0.9845029059605013,0.8313154409565433,0.9968374808514049
304620900,39.2503937,9.1352379,0.9975405644680684,0.9975405644680684,0.9973108721485514,0.9864879215091737,0.8315890693453524,0.9973108721485514
304621467,39.2517034,9.1346042,0.9964722333315053,0.9953634462974016,0.9964722333315053,0.9834607225795935,0.8306084970058248,0.9964722333315053
304695931,39.2524353,9.1352373,0.9955035009996844,0.9930847591851892,0.9955035009996844,0.9803352394690324,0.8286107320864616,0.9955035009996844
304698981,39.2465848,9.1347235,0.9970719702797718,0.9970719702797718,0.9960192872494564,0.9896542402058686,0.8309986835979114,0.9960192872494564
304698986,39.2446409,9.1357391,0.9951247757354399,0.9951247757354399,0.9920793963482828,0.9897675778519796,0.8284145693984831,0.9920793963482828
304698987,39.2445803,9.1354989,0.9949776735696221,0.9949776735696221,0.9920015222895011,0.9900090717117315,0.8287037571955385,0.9920015222895011
304698988,39.2467773,9.1350085,0.9967369446621854,0.9967369446621854,0.9960498839697409,0.9893681767168643,0.8305189960130445,0.9960498839697409
304698989,39.243724,9.1331514,0.995762452377618,0.995762452377618,0.9943756879335112,0.9941373778567852,0.8297751720530918,0.9943756879335112
304698991,39.2457314,9.1338223,0.9970006283552297,0.9970006283552297,0.9958971398565697,0.9922485747107128,0.8316077399330071,0.9958971398565697
304698998,39.244526,9.1319656,0.9952659459066366,0.9952659459066366,0.9931605177787611,0.9943159947050623,0.8304600059308543,0.9931605177787611
304698999,39.2441934,9.1325189,0.9956730992494045,0.9956730992494045,0.9928554751191869,0.9941298497022797,0.8302793844732331,0.9928554751191869
304699002,39.2431315,9.1348585,0.9954784850450226,0.9954784850450226,0.9937809929361405,0.9931656241778491,0.8273725467937545,0.9937809929361405
304699003,39.2430348,9.1355261,0.995022445430191,0.995022445430191,0.994157553406268,0.9925124584862298,0.8261063937432706,0.994157553406268
304699005,39.2427918,9.1361667,0.9945412141253736,0.9945412141253736,0.9944238843274219,0.9917990897076877,0.8244013496151195,0.9944238843274219
304699007,39.2483034,9.1212103,0.9977593350827066,0.9977593350827066,0.9931106579784958,0.982829098208927,0.8094879120553773,0.9931106579784958
304699008,39.248683,9.1216444,0.9977567129538936,0.9977567129538936,0.9910166837871123,0.978243073618248,0.8054645740102179,0.9910166837871123
304699009,39.2489244,9.1218975,0.9976423624281379,0.9976423624281379,0.9896022913158785,0.97811148131669,0.8066120624443939,0.9896022913158785
304699010,39.2499623,9.123058,0.9978988236737958,0.9978988236737958,0.9884093154070401,0.974548771633291,0.809779165219876,0.9884093154070401
304699012,39.2493719,9.1238135,0.9973620650192585,0.9973620650192585,0.9884141119145574,0.9767915556909473,0.8132474662446826,0.9884141119145574
304699013,39.2490874,9.1241651,0.9967252968663156,0.9967252968663156,0.9879482284591209,0.9783377209503071,0.8102571350559914,0.9879482284591209
304699014,39.2485794,9.1248406,0.9958737670477826,0.9958737670477826,0.9862695971158665,0.9763595573311321,0.8124346009473457,0.9862695971158665
304699015,39.2481587,9.1253661,0.9941131599279442,0.9941131599279442,0.9844372448946695,0.9782383316541549,0.8111815976091812,0.9844372448946695
304699016,39.2469099,9.1237191,0.9962932269960728,0.9962932269960728,0.9896842795032863,0.984113113005132,0.815025861219328,0.9896842795032863
304698913,39.2487873,9.1315055,0.9974368201361457,0.9968105009572339,0.9974368201361457,0.9902301615362307,0.8329382618988814,0.9974368201361457
304698915,39.2483252,9.1311234,0.9973344899039666,0.9969054978618725,0.9973344899039666,0.9911389256570439,0.83295575906471,0.9973344899039666
304698916,39.2478797,9.1307172,0.9971368381380848,0.9967402091008932,0.9971368381380848,0.991719275211802,0.832828337394365,0.9971368381380848
304698917,39.250416,9.1290293,0.9931987087139819,0.9919878423473771,0.9931987087139819,0.9824035470069451,0.8279539730280538,0.9931987087139819
304698918,39.2509435,9.1294737,0.9958933712397819,0.9958933712397819,0.9951244594655024,0.9821493461096754,0.8288880497544682,0.9951244594655024
304698919,39.2507772,9.1293412,0.9954397255585832,0.9946040186453687,0.9954397255585832,0.9827990796358176,0.8292080285758197,0.9954397255585832
304698920,39.250157,9.1307503,0.99661290958048,0.995738770186998,0.99661290958048,0.9852213667710734,0.8308947537438678,0.99661290958048
304698922,39.2512578,9.1248855,0.9980025070800119,0.9980025070800119,0.9855073927956249,0.9695565402396953,0.8170063227583694,0.9855073927956249
304698923,39.2522349,9.1258516,0.9981362837184511,0.9981362837184511,0.9871669028792934,0.9686866535338433,0.8183131120645416,0.9871669028792934
304698925,39.2516676,9.1264993,0.9976744323353295,0.9976744323353295,0.9894565451172266,0.9725075158186862,0.8210798766733898,0.9894565451172266
304698926,39.2513664,9.1268476,0.9974077524876281,0.9974077524876281,0.990489173029004,0.9739174424502717,0.8224045148401459,0.990489173029004
304698927,39.2509213,9.1273557,0.9974229977387965,0.9974229977387965,0.992023288096111,0.9765453280153713,0.8243675197170661,0.992023288096111
304698928,39.2507388,9.1275643,0.9972942797093811,0.9972942797093811,0.9924846586597926,0.977442580903712,0.8251946248661663,0.9924846586597926
304698932,39.2502593,9.1263966,0.9976383321291671,0.9976383321291671,0.9893013869067309,0.9754040238331206,0.8227087012170013,0.9893013869067309
304698933,39.2505405,9.1268007,0.9974615598300747,0.9974615598300747,0.9889032622591074,0.9737413748305758,0.8215317079496487,0.9889032622591074
304698934,39.2509413,9.1254204,0.9979272444027658,0.9979272444027658,0.9867694866273087,0.971857362443822,0.8192202929293957,0.9867694866273087
304698935,39.2509787,9.1262874,0.9974785672991389,0.9974785672991389,0.988239773018202,0.9720522787062126,0.8206319372564783,0.988239773018202
