from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time,wait_time,impedance,is_missing
39.245321,9.105184,39.174302,9.03055,https://www.google.com/maps/dir/?api=1&origin=39.245321%2C9.105184&destination=39.174302%2C9.03055&travelmode=transit&departure_time=1760529600,,,,1
39.215009,9.08928,39.183439,9.159729,https://www.google.com/maps/dir/?api=1&origin=39.215009%2C9.08928&destination=39.183439%2C9.159729&travelmode=transit&departure_time=1760529600,,,,1
39.200145,9.147315,39.231319,9.051986,https://www.google.com/maps/dir/?api=1&origin=39.200145%2C9.147315&destination=39.231319%2C9.051986&travelmode=transit&departure_time=1760529600,,,,1
39.22515,9.081151,39.188656,9.165249,https://www.google.com/maps/dir/?api=1&origin=39.22515%2C9.081151&destination=39.188656%2C9.165249&travelmode=transit&departure_time=1760529600,,,,1
39.227879,9.121354,39.168983,9.031959,https://www.google.com/maps/dir/?api=1&origin=39.227879%2C9.121354&destination=39.168983%2C9.031959&travelmode=transit&departure_time=1760529600,,,,1
39.243373,9.138388,39.18923,9.168061,https://www.google.com/maps/dir/?api=1&origin=39.243373%2C9.138388&destination=39.18923%2C9.168061&travelmode=transit&departure_time=1760529600,,,,1
39.215431,9.158532,39.236407,9.135314,https://www.google.com/maps/dir/?api=1&origin=39.215431%2C9.158532&destination=39.236407%2C9.135314&travelmode=transit&departure_time=1760529600,,,,1
39.224863,9.07503,39.239601,9.132438,https://www.google.com/maps/dir/?api=1&origin=39.224863%2C9.07503&destination=39.239601%2C9.132438&travelmode=transit&departure_time=1760529600,,,,1
39.213767,9.152787,39.241816,9.136898,https://www.google.com/maps/dir/?api=1&origin=39.213767%2C9.152787&destination=39.241816%2C9.136898&travelmode=transit&departure_time=1760529600,,,,1
39.232549,9.13094,39.231319,9.051986,https://www.google.com/maps/dir/?api=1&origin=39.232549%2C9.13094&destination=39.231319%2C9.051986&travelmode=transit&departure_time=1760529600,,,,1
39.214448,9.152366,39.237972,9.116081,https://www.google.com/maps/dir/?api=1&origin=39.214448%2C9.152366&destination=39.237972%2C9.116081&travelmode=transit&departure_time=1760529600,,,,1
39.228201,9.073084,39.20927,9.167831,https://www.google.com/maps/dir/?api=1&origin=39.228201%2C9.073084&destination=39.20927%2C9.167831&travelmode=transit&departure_time=1760529600,,,,1
39.208188,9.149567,39.173748,9.038377,https://www.google.com/maps/dir/?api=1&origin=39.208188%2C9.149567&destination=39.173748%2C9.038377&travelmode=transit&departure_time=1760529600,,,,1
39.224603,9.075402,39.232003,9.103244,https://www.google.com/maps/dir/?api=1&origin=39.224603%2C9.075402&destination=39.232003%2C9.103244&travelmode=transit&departure_time=1760529600,,,,1
39.244615,9.109719,39.233753,9.035125,https://www.google.com/maps/dir/?api=1&origin=39.244615%2C9.109719&destination=39.233753%2C9.035125&travelmode=transit&departure_time=1760529600,,,,1
39.202591,9.143532,39.245424,9.011809,https://www.google.com/maps/dir/?api=1&origin=39.202591%2C9.143532&destination=39.245424%2C9.011809&travelmode=transit&departure_time=1760529600,,,,1
39.215181,9.154357,39.217825,9.118248,https://www.google.com/maps/dir/?api=1&origin=39.215181%2C9.154357&destination=39.217825%2C9.118248&travelmode=transit&departure_time=1760529600,,,,1
39.189988,9.141825,39.231499,9.076457,https://www.google.com/maps/dir/?api=1&origin=39.189988%2C9.141825&destination=39.231499%2C9.076457&travelmode=transit&departure_time=1760529600,,,,1
39.217378,9.126663,39.234044,9.039376,https://www.google.com/maps/dir/?api=1&origin=39.217378%2C9.126663&destination=39.234044%2C9.039376&travelmode=transit&departure_time=1760529600,,,,1
39.188823,9.163013,39.205571,9.129825,https://www.google.com/maps/dir/?api=1&origin=39.188823%2C9.163013&destination=39.205571%2C9.129825&travelmode=transit&departure_time=1760529600,,,,1
39.24146,9.030239,39.228144,9.136692,https://www.google.com/maps/dir/?api=1&origin=39.24146%2C9.030239&destination=39.228144%2C9.136692&travelmode=transit&departure_time=1760529600,,,,1
39.22642,9.079464,39.223146,9.118292,https://www.google.com/maps/dir/?api=1&origin=39.22642%2C9.079464&destination=39.223146%2C9.118292&travelmode=transit&departure_time=1760529600,,,,1
39.215851,9.15614,39.235766,9.108673,https://www.google.com/maps/dir/?api=1&origin=39.215851%2C9.15614&destination=39.235766%2C9.108673&travelmode=transit&departure_time=1760529600,,,,1
39.198208,9.138177,39.229609,9.072175,https://www.google.com/maps/dir/?api=1&origin=39.198208%2C9.138177&destination=39.229609%2C9.072175&travelmode=transit&departure_time=1760529600,,,,1
39.168259,9.03354,39.226074,9.122159,https://www.google.com/maps/dir/?api=1&origin=39.168259%2C9.03354&destination=39.226074%2C9.122159&travelmode=transit&departure_time=1760529600,,,,1
39.217143,9.055861,39.200995,9.136211,https://www.google.com/maps/dir/?api=1&origin=39.217143%2C9.055861&destination=39.200995%2C9.136211&travelmode=transit&departure_time=1760529600,,,,1
